model,data_branch,tuning_method,validation_type,augmentation_strategy,n_train_original,n_train_augmented,MAE,RMSE,R2,MAPE_%
DummyRegressor,A,none,holdout,feature_noise,8,24,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929
Ridge,A,none,holdout,feature_noise,8,24,16.901331140567592,22.961992390225642,0.8954070433388652,7.280556185063551
Lasso,A,none,holdout,feature_noise,8,24,8.497739563886249,9.11389416857342,0.983522502099592,4.932519649917056
ElasticNet,A,none,holdout,feature_noise,8,24,30.927201276826082,31.16962660935114,0.8072712511473179,20.23323997608196
SVR,A,none,holdout,feature_noise,8,24,70.6545897112699,72.01397167575949,-0.02876653769432469,44.79941847959725
RandomForest,A,none,holdout,feature_noise,8,24,64.06695833333332,64.38297481253724,0.17770929464157825,45.96792764678686
XGBoost,A,none,holdout,feature_noise,8,24,64.51043701171875,76.18103491735259,-0.15126960545108004,55.881945430724635
MLP,A,none,holdout,feature_noise,8,24,79.91949285624246,105.22841343204307,-1.1965917463648048,74.36574787572201
DummyRegressor,A,none,loeo,feature_noise,9,27,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544
Ridge,A,none,loeo,feature_noise,9,27,43.24379058988059,65.25279451387938,-0.18220257486640068,27.14617301002954
Lasso,A,none,loeo,feature_noise,9,27,33.76470611813847,40.043827934874095,0.5547900691959045,21.666762231664016
ElasticNet,A,none,loeo,feature_noise,9,27,26.92359162845846,37.89671760708791,0.6012535211549672,16.992984657168577
SVR,A,none,loeo,feature_noise,9,27,53.67230013883481,65.34624766697445,-0.18559123193655291,34.88253605186713
RandomForest,A,none,loeo,feature_noise,9,27,52.8051107142857,65.79318209407236,-0.20186434980905155,34.24667247122933
XGBoost,A,none,loeo,feature_noise,9,27,54.03581848144531,70.33116761697212,-0.3733755926708373,34.82644854303633
MLP,A,none,loeo,feature_noise,9,27,162.26953921491787,347.87750455825153,-32.60054812537346,79.38842953058452
DummyRegressor,A,none,holdout,feature_noise,8,24,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929
Ridge,A,random,holdout,feature_noise,8,24,16.091596149837905,22.396009377143532,0.9004996556196982,6.712793235067525
Lasso,A,random,holdout,feature_noise,8,24,16.329608224241596,17.28550593039322,0.9407282850089944,12.854447510364652
ElasticNet,A,random,holdout,feature_noise,8,24,33.44977778775939,33.51477231190213,0.7771791384410551,22.477271475193813
SVR,A,random,holdout,feature_noise,8,24,70.7350823218843,71.71700857923827,-0.020299408759082427,45.4455667381364
RandomForest,A,random,holdout,feature_noise,8,24,64.0462565351315,64.13718642289633,0.18397566311339864,45.121640029444144
XGBoost,A,random,holdout,feature_noise,8,24,64.56336212158203,64.6719420570204,0.1703114284017846,43.46368328991658
MLP,A,none,holdout,feature_noise,8,24,79.91949285624246,105.22841343204307,-1.1965917463648048,74.36574787572201
DummyRegressor,A,none,loeo,feature_noise,9,27,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544
Ridge,A,random,loeo,feature_noise,9,27,48.93809548520257,77.97308575131426,-0.6880414754134323,29.667755654369536
Lasso,A,random,loeo,feature_noise,9,27,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837
ElasticNet,A,random,loeo,feature_noise,9,27,30.57023431815103,39.72042348933236,0.5619522940142251,20.957284125206037
SVR,A,random,loeo,feature_noise,9,27,53.06865425166992,65.29265388176418,-0.18364730193988232,34.76115190535204
RandomForest,A,random,loeo,feature_noise,9,27,54.64337175324677,66.93947103571286,-0.2441083998181519,35.17237325072548
XGBoost,A,random,loeo,feature_noise,9,27,50.288963317871094,63.003317995207574,-0.10209875875082175,33.8745623307234
MLP,A,none,loeo,feature_noise,9,27,162.26953921491787,347.87750455825153,-32.60054812537346,79.38842953058452
