branch_id,data_branch,tuning_branch,tuning_method,augmentation_strategy,validation_type,models_run,status,notes,duration_sec
N_ST,N,ST,none,none,holdout+loeo,all_baselines,OK,,5.1
N_CT_random,N,CT,random,none,holdout+loeo,all_baselines,OK,,14.4
N_CT_grid,N,CT,grid,none,holdout+loeo,all_baselines,OK,,9.9
A_ST_feature_noise,A,ST,none,feature_noise,holdout+loeo,all_baselines,OK,,6.1
A_CT_random_feature_noise,A,CT,random,feature_noise,holdout+loeo,all_baselines,OK,,9.3
A_CT_grid_feature_noise,A,CT,grid,feature_noise,holdout+loeo,all_baselines,OK,,11.9
A_ST_feature_scaling,A,ST,none,feature_scaling,holdout+loeo,all_baselines,OK,,9.3
A_CT_random_feature_scaling,A,CT,random,feature_scaling,holdout+loeo,all_baselines,OK,,12.2
A_CT_grid_feature_scaling,A,CT,grid,feature_scaling,holdout+loeo,all_baselines,OK,,15.0
A_ST_grouped_scaling,A,ST,none,grouped_scaling,holdout+loeo,all_baselines,OK,,9.1
A_CT_random_grouped_scaling,A,CT,random,grouped_scaling,holdout+loeo,all_baselines,OK,,10.8
A_CT_grid_grouped_scaling,A,CT,grid,grouped_scaling,holdout+loeo,all_baselines,OK,,13.2
