experiment_id,source_experiment_id,is_augmented,A_p1_mean,A_p1_std,A_p1_rms,A_p1_max,A_p1_min,A_p1_peak_to_peak,A_p1_skewness,A_p1_kurtosis,A_p1_crest_factor,A_p1_energy,A_p1_absolute_mean,A_p1_median,A_p1_iqr,A_p1_duration_s,A_p1_n_samples,A_p1_dominant_freq_hz,A_p1_spectral_energy,A_p1_spectral_centroid_hz,A_p1_band_energy_low,A_p1_band_energy_mid,A_p1_band_energy_high,R_p1_mean,R_p1_std,R_p1_rms,R_p1_max,R_p1_min,R_p1_peak_to_peak,R_p1_skewness,R_p1_kurtosis,R_p1_crest_factor,R_p1_energy,R_p1_absolute_mean,R_p1_median,R_p1_iqr,R_p1_duration_s,R_p1_n_samples,R_p1_dominant_freq_hz,R_p1_spectral_energy,R_p1_spectral_centroid_hz,R_p1_band_energy_low,R_p1_band_energy_mid,R_p1_band_energy_high,A_p2_mean,A_p2_std,A_p2_rms,A_p2_max,A_p2_min,A_p2_peak_to_peak,A_p2_skewness,A_p2_kurtosis,A_p2_crest_factor,A_p2_energy,A_p2_absolute_mean,A_p2_median,A_p2_iqr,A_p2_duration_s,A_p2_n_samples,A_p2_dominant_freq_hz,A_p2_spectral_energy,A_p2_spectral_centroid_hz,A_p2_band_energy_low,A_p2_band_energy_mid,A_p2_band_energy_high,R_p2_mean,R_p2_std,R_p2_rms,R_p2_max,R_p2_min,R_p2_peak_to_peak,R_p2_skewness,R_p2_kurtosis,R_p2_crest_factor,R_p2_energy,R_p2_absolute_mean,R_p2_median,R_p2_iqr,R_p2_duration_s,R_p2_n_samples,R_p2_dominant_freq_hz,R_p2_spectral_energy,R_p2_spectral_centroid_hz,R_p2_band_energy_low,R_p2_band_energy_mid,R_p2_band_energy_high,A_p3_mean,A_p3_std,A_p3_rms,A_p3_max,A_p3_min,A_p3_peak_to_peak,A_p3_skewness,A_p3_kurtosis,A_p3_crest_factor,A_p3_energy,A_p3_absolute_mean,A_p3_median,A_p3_iqr,A_p3_duration_s,A_p3_n_samples,A_p3_dominant_freq_hz,A_p3_spectral_energy,A_p3_spectral_centroid_hz,A_p3_band_energy_low,A_p3_band_energy_mid,A_p3_band_energy_high,R_p3_mean,R_p3_std,R_p3_rms,R_p3_max,R_p3_min,R_p3_peak_to_peak,R_p3_skewness,R_p3_kurtosis,R_p3_crest_factor,R_p3_energy,R_p3_absolute_mean,R_p3_median,R_p3_iqr,R_p3_duration_s,R_p3_n_samples,R_p3_dominant_freq_hz,R_p3_spectral_energy,R_p3_spectral_centroid_hz,R_p3_band_energy_low,R_p3_band_energy_mid,R_p3_band_energy_high,A_p4_mean,A_p4_std,A_p4_rms,A_p4_max,A_p4_min,A_p4_peak_to_peak,A_p4_skewness,A_p4_kurtosis,A_p4_crest_factor,A_p4_energy,A_p4_absolute_mean,A_p4_median,A_p4_iqr,A_p4_duration_s,A_p4_n_samples,A_p4_dominant_freq_hz,A_p4_spectral_energy,A_p4_spectral_centroid_hz,A_p4_band_energy_low,A_p4_band_energy_mid,A_p4_band_energy_high,R_p4_mean,R_p4_std,R_p4_rms,R_p4_max,R_p4_min,R_p4_peak_to_peak,R_p4_skewness,R_p4_kurtosis,R_p4_crest_factor,R_p4_energy,R_p4_absolute_mean,R_p4_median,R_p4_iqr,R_p4_duration_s,R_p4_n_samples,R_p4_dominant_freq_hz,R_p4_spectral_energy,R_p4_spectral_centroid_hz,R_p4_band_energy_low,R_p4_band_energy_mid,R_p4_band_energy_high,A_p5_mean,A_p5_std,A_p5_rms,A_p5_max,A_p5_min,A_p5_peak_to_peak,A_p5_skewness,A_p5_kurtosis,A_p5_crest_factor,A_p5_energy,A_p5_absolute_mean,A_p5_median,A_p5_iqr,A_p5_duration_s,A_p5_n_samples,A_p5_dominant_freq_hz,A_p5_spectral_energy,A_p5_spectral_centroid_hz,A_p5_band_energy_low,A_p5_band_energy_mid,A_p5_band_energy_high,R_p5_mean,R_p5_std,R_p5_rms,R_p5_max,R_p5_min,R_p5_peak_to_peak,R_p5_skewness,R_p5_kurtosis,R_p5_crest_factor,R_p5_energy,R_p5_absolute_mean,R_p5_median,R_p5_iqr,R_p5_duration_s,R_p5_n_samples,R_p5_dominant_freq_hz,R_p5_spectral_energy,R_p5_spectral_centroid_hz,R_p5_band_energy_low,R_p5_band_energy_mid,R_p5_band_energy_high,A_p6_mean,A_p6_std,A_p6_rms,A_p6_max,A_p6_min,A_p6_peak_to_peak,A_p6_skewness,A_p6_kurtosis,A_p6_crest_factor,A_p6_energy,A_p6_absolute_mean,A_p6_median,A_p6_iqr,A_p6_duration_s,A_p6_n_samples,A_p6_dominant_freq_hz,A_p6_spectral_energy,A_p6_spectral_centroid_hz,A_p6_band_energy_low,A_p6_band_energy_mid,A_p6_band_energy_high,R_p6_mean,R_p6_std,R_p6_rms,R_p6_max,R_p6_min,R_p6_peak_to_peak,R_p6_skewness,R_p6_kurtosis,R_p6_crest_factor,R_p6_energy,R_p6_absolute_mean,R_p6_median,R_p6_iqr,R_p6_duration_s,R_p6_n_samples,R_p6_dominant_freq_hz,R_p6_spectral_energy,R_p6_spectral_centroid_hz,R_p6_band_energy_low,R_p6_band_energy_mid,R_p6_band_energy_high,A_rms_mean_6_contacts,A_rms_max_6_contacts,A_rms_min_6_contacts,A_rms_std_6_contacts,A_energy_total_6_contacts,A_rms_trend_p1_to_p6,R_rms_mean_6_contacts,R_rms_max_6_contacts,R_rms_min_6_contacts,R_rms_std_6_contacts,R_energy_total_6_contacts,R_rms_trend_p1_to_p6,total_energy_6_contacts,max_contact_energy,mean_contact_duration,total_contact_duration,mean_number_of_samples,A_to_R_rms_ratio,A_to_R_energy_ratio,A_R_rms_correlation_across_contacts,A_R_energy_correlation_across_contacts,tool_id,experiment_order,VC,F,end_of_life,cumulative_experiments,cumulative_contacts,delta_VB_um,VB_um
66,66,False,-0.0001534228045366,29.501608088871755,29.501608089270693,188.417984,-194.757004,383.174988,-0.0449073725090268,0.3852658511827473,6.60157247736032,3015.8320431783573,22.121227264633053,0.0,35.560981,3.465079999999997,173255.0,1878.1564746317213,13062699516374.951,3764.345860806758,1911281583.8808796,4914523357363.926,8146264877427.146,0.0006686866016349,25.85961437564189,25.859614384287447,166.602875,-121.381409,287.984284,0.1082352618649385,0.4032436449400856,6.4425893025392345,2200.555772341584,19.6904829840338,-0.023965,31.801211,3.2906799999999983,164535.0,1878.0198742619991,9051711106108.027,4706.092715899464,1347251215.021699,1799510826750.9792,7250853028142.028,0.000894564197936,29.097757816604418,29.09775783035539,225.635757,-265.470764,491.106521,-0.0201190705868289,0.614774917207614,9.123409629970022,2786.2190668088606,21.578805544761696,-0.072034,33.760122,3.29074,164538.0,1882.2399689538256,11460972831219.287,3235.4047784870627,2084777800.196102,5767641602991.105,5691246450384.063,0.0002196315191043,23.133153439469503,23.13315344051212,227.137802,-271.472565,498.610367,0.0757982992945213,0.7540000441414958,11.735216545297344,1713.184716119105,17.400334459642153,-0.047929,27.343769,3.2013399999999947,160068.0,1882.325011941216,6855651279609.874,4050.8924591654777,1172698928.180116,2286164650774.31,4568313928911.232,-0.0003048882977542,31.59979706734486,31.5997970688157,110.476761,-110.764893,221.241654,0.0856057175804861,-0.0300328211597538,3.50524064312136,2698.9731587407923,24.305436510496136,-0.240115,40.027115,2.7028800000000004,135145.0,1908.6906656536712,9118818189299.498,3196.1055575439955,751156185.7003853,5789701295762.02,3328365737351.78,0.0001517717671526,24.11578258744875,24.115782587926333,111.651726,-98.686798,210.338524,0.0170224949601181,0.1841900696698597,4.6298197287571705,1610.6840637778012,18.347466769940134,0.0,29.692313,2.76952,138477.0,1908.620204149468,5576067427714.818,4055.462227395297,783189322.1180454,2402035154138.949,3173249084253.7515,-0.0001239936828911,29.82078007578842,29.8207800760462,112.253609,-115.495155,227.748764,0.0352542517936029,0.114476574651082,3.872975646695858,2128.4891054171558,22.60326572009192,-0.120057,36.497429,2.3934799999999967,119675.0,1792.354292944395,6368173342380.055,3254.951202414674,590453896.0377896,3964750998892.6455,2402831889591.372,0.0009339834740718,22.528309371971112,22.528309391331756,107.218246,-101.298958,208.517204,-0.111893119584806,0.751369660435314,4.759267290658504,1287.397365472952,16.43134633091279,0.071894,24.372142,2.5366,126831.0,1792.5428326561089,4082047388523.656,4019.253889540129,622330951.0795801,1767073837393.3745,2314351220179.201,0.000194538549448,24.64248146728395,24.642481468051837,107.307243,-101.496468,208.803711,0.0488689781542319,0.4525628241902928,4.354563201726267,1307.1461345878815,18.12845877307949,-0.048023,27.397083,2.152540000000002,107628.0,2122.5889174624504,3517138104557.8057,3404.5521099586185,559672316.7562096,1635618572964.7334,1880959859270.316,0.0009168019788361,20.32310407509384,20.323104095772912,108.871819,-100.00486,208.876679,0.0440021243250211,1.0501438757995478,5.357046762489629,900.848331835911,14.67016388237937,0.047929,20.945184,2.181060000000002,109054.0,2122.343059482112,2456027854498.981,4641.599814374582,391257907.5793245,516865035948.2805,1938771560643.0093,-0.0002032347702446,22.969567647750083,22.969567648649196,117.992348,-145.293381,263.285729,0.0428218442824316,1.3768218127992666,6.325473044267096,1098.3492888165936,15.558837766430653,-0.024011,17.768486,2.0817600000000027,104089.0,1575.094390437095,2858151978314.512,3455.3603701417205,317529837.6453749,1410975043484.166,1446859404992.7017,0.002270118645806,20.951038219362086,20.951038342349754,112.562386,-98.97438,211.536766,0.1229591323525523,1.143009452048731,5.3726399694696765,770.4116958187493,15.028792301240928,-0.047929,21.328619,1.7551200000000051,87757.0,4691.933405532379,1690225499593.2104,4712.729001125816,232021680.25267455,381471129197.446,1308522348715.5117,27.938665363531506,31.5997970688157,22.969567648649196,3.0629312441395773,13035.00879754964,-1.3658585223653623,22.81850037369672,25.859614384287447,20.323104095772912,1.8631939400694224,8483.081945366102,-0.9874428983000194,21518.09074291574,3015.8320431783573,2.68108,16.086479999999998,134055.0,1.2235991261251,1.5337506437692074,0.783447509295913,0.9637196423275288,T01,1,120.0,0.05,0,1,6,0.0,85
68,68,False,-0.0007126010630264,37.478551634994645,37.4785516417692,204.745773,-268.304138,473.04991100000007,-0.03333748630573,0.6224584424809838,7.15887157445486,4836.181831586267,28.26836410877142,0.0,44.853421,3.4429799999999986,172150.0,4999.128667049552,20813717565213.914,6768.067317339034,1242747752.979153,702874935125.5719,20109599882335.32,-0.0011496860861266,28.290628749909164,28.290628773269862,145.394073,-169.167099,314.561172,-0.1697301304176894,0.717681629441818,5.979616089686771,2767.4036530432118,21.15052005879631,0.215683,32.807729,3.4576800000000034,172885.0,4998.409347443184,11961064533662.838,6044.570404454779,743219773.54372,225090085931.79968,11735231227957.492,-0.0004553279956121,33.883532223544655,33.88353222660401,201.744339,-207.819244,409.563583,-0.0411728537658647,0.58364961828552,6.13334060363484,3432.846254642672,25.9942211210151,0.072034,41.443792,2.990020000000001,149502.0,2284.584821694227,12830434521410.174,6646.735187346884,1404728718.6681118,1147243727133.3838,11681786065451.035,1.637348014990278e-05,23.651242918695345,23.65124291870101,122.603615,-114.719215,237.32283,-0.087368979847221,0.488543273547886,5.18381276711075,1686.5905323013633,18.21226141875228,0.359471,29.117159,3.015079999999997,150755.0,2073.894729938219,6356548892430.352,5914.204259760089,1071937910.9107206,589510303120.3348,5765966651399.106,-0.0003659000125938,32.94183744198219,32.941837444014304,234.111801,-195.237228,429.349029,0.0764224967797944,0.6694268117452968,7.106822787219457,2929.6624234971478,25.019811820641987,-0.240115,39.522875,2.6997200000000063,134987.0,2282.812419060101,9886658540234.982,7050.6187277150175,891543959.0779712,771852368920.8418,9113914627355.062,-0.00021798491757,22.1656784025467,22.165678403618568,146.16095,-131.901932,278.062882,-0.0340676580130574,0.3896424078424982,6.594021050857577,1267.1859251277813,17.187956164976196,0.191718,27.990816,2.5791400000000024,128958.0,1888.5993890198376,4085344063813.844,6178.054153458733,697310410.4891013,383211706794.4465,3701435046402.856,0.0009495515593675,31.542017418981228,31.54201743327404,245.925446,-335.728333,581.653779,-0.0126432617990474,2.23043346147166,10.64384463391477,2640.10342083064,22.54797263028896,-0.096046,31.74316,2.6536199999999965,132682.0,2279.1335675634086,8757355060016.396,7048.5375029745055,2534368067.7623696,900931606377.5404,7853889085543.944,0.0008188937600084,22.59103878580001,22.591038800641886,183.354233,-212.447418,395.801651,0.0249874169674734,1.2168380555683518,9.404057063279607,1166.4572588202366,17.028988315823554,-0.047929,26.74465,2.2855599999999967,114279.0,2125.937398902664,3332539231396.7773,6273.103813283771,1951603078.1430988,218886395422.69647,3111701232895.938,-0.0005254958851857,34.81794119425339,34.81794119821897,219.993057,-184.816254,404.809311,0.0268537940783075,1.0728892853537264,6.3183821164949645,2542.533781114473,25.700367479826443,-0.048023,38.490382,2.097280000000005,104865.0,2274.829542831554,6665570125432.555,6575.647062674013,1192691539.416817,928186471549.0846,5736190962344.055,0.0014220289123876,23.124249753618543,23.124249797342472,150.594421,-128.331192,278.925613,0.0420700450407708,0.7712394636776256,6.51240244850265,1038.6720505058222,17.589322145241503,-0.071894,27.607381,1.9423999999999992,97121.0,2152.4695998590846,2521921714966.43,6016.049218699494,637546086.6837709,226888218496.27545,2294395950383.472,0.0004067075513832,32.43360922754976,32.433609230099755,297.766205,-323.362427,621.128632,-0.0393034592328808,3.868432141240557,9.96997974249212,2496.608924512904,22.36360385398637,-0.024011,28.741726,2.3733199999999925,118667.0,1262.777351348189,7406627282293.984,6561.207719979951,3759033743.383338,1229690199973.4404,6173178048577.162,-0.0007100175526901,16.879609502567188,16.879609517500143,233.248825,-297.97757,531.226395,0.072870172874907,8.729850748134316,17.653108011240906,1064.1921440740523,10.191592906903272,-0.047929,9.20246,3.735019999999992,186752.0,2115.639992474458,4968500291228.189,6288.086799385697,3151527765.406708,564527973031.7288,4400820790062.58,33.849581528996715,37.4785516417692,31.54201743327404,1.9262280113031205,18877.936636184106,-0.6806087186926458,22.783741368512324,28.290628773269862,16.879609517500143,3.3284686879688645,8990.501563872465,-1.6631632927400255,27868.43820005657,4836.181831586267,2.70949,16.25694,135475.5,1.5111566616558327,2.192017807488545,0.7723058013370602,0.9977144219568342,T01,3,120.0,0.05,0,3,18,16.0,119
69,69,False,0.0001458599994989,45.45866178664682,45.45866178688083,206.570648,-246.645782,453.21643,-0.149426704395154,0.5085565642511227,5.425715854908445,6599.459585494295,34.726063136443344,0.120057,55.922706000000005,3.1935399999999987,159678.0,5254.637458082921,26344712694086.406,6548.843034060318,1253125760.942236,671149601770.6887,25672309963552.324,0.0005076390352654,31.14453941497082,31.14453941910794,128.067566,-154.932053,282.999619,-0.2246001072178951,0.5440202015014219,4.974613716873443,3158.689277033642,23.6076590466706,0.239647,37.840324,3.2564199999999985,162822.0,5254.818145167061,12857602640117.854,5667.489842960476,758648148.7030648,186341312407.63895,12670502679416.203,0.0008172085435767,42.01195842339696,42.01195843134505,226.596207,-217.759995,444.356202,0.0438884383697145,0.7047128111966301,5.393612091907073,5239.910508499578,31.83012488662009,-0.264126,50.039896,2.968760000000003,148439.0,6048.949400319272,19445176906636.72,7356.60940034459,1719864269.591399,727247957437.3145,18716209084929.81,-0.0004035934978173,25.914128666271,25.91412866941384,137.605545,-121.333481,258.939026,0.0386275992794695,0.4746176849881469,5.310058723387228,1972.2250281199729,19.830989820978868,-0.143788,31.657422,2.936840000000004,146843.0,2131.868730629661,7240185996861.684,6398.708415493605,985779237.0422144,434010548790.2159,6805189668834.427,7.089532209184102e-05,40.46852914694093,40.46852914700303,235.144287,-217.615921,452.760208,0.0475995855925458,0.7390311846327271,5.810546910312258,4215.117024932133,30.705272462872014,-0.144069,48.215025,2.5737799999999997,128690.0,2085.243608750945,13561085248536.305,7379.87033784945,799538178.1731453,617386905407.8042,12942898804886.771,0.0002836520344867,25.22466609763737,25.22466609923221,132.261398,-173.097321,305.358719,0.0498967331218852,0.5205172080078979,6.862224471834288,1630.9862128068496,19.36136118448094,-0.167753,31.106234,2.563279999999999,128165.0,2107.439628683536,5225883699770.563,6388.487970957241,650502146.6487936,387232068342.8882,4838001129281.026,-0.0007714636881779,42.19594879926324,42.195948806315535,233.751633,-225.755814,459.507447,0.0164879335708311,0.5766696803368223,5.539670030242667,3873.651656929205,32.4053811811914,-0.0120055,51.70269,2.1755799999999965,108780.0,2305.570877086732,10534395684951.926,7328.324915410461,738958910.1795657,423267670225.2217,10110389054993.19,0.0004893060611762,24.289649601989492,24.289649606917944,123.058945,-136.047836,259.106781,-0.0422949757032746,0.6872756059856635,5.601062106768809,1379.484186359259,18.36317209521162,0.143788,28.350289,2.3381400000000028,116908.0,1843.7574845875408,4031818433134.7,6580.980175451475,514414863.7016276,255984368507.7926,3775319649710.478,-0.0007674736671679,40.768994697551,40.76899470477482,214.662506,-242.035583,456.698089,-0.0798657129691519,0.7694231270987575,5.936756222533323,3182.477038430507,30.712144622555776,0.240115,47.254566,1.9147000000000036,95736.0,2214.422996657745,7616940546484.328,7064.225692238245,840377384.1695137,547329943471.7499,7068770225617.427,0.0012182489496022,25.65509028832584,25.65509031725052,130.104568,-133.579468,263.684036,0.0033768275955545,0.540783418170633,5.20674323684532,1234.4102891306843,19.609605585226184,0.023965,30.986409,1.8754599999999968,93774.0,2214.3664556045505,2893889767882.315,6569.011602963352,372600047.8385394,125599162565.76358,2767918005201.928,-0.0007917638880344,43.89219850678147,43.89219851392272,231.446533,-237.113235,468.559768,-0.0939829260923239,0.8408020795770632,5.40217266457471,3131.566534421798,32.81357961579822,0.384183,49.283536,1.6254800000000031,81275.0,2230.6982467777743,6362951754198.777,7065.661730464326,439301074.517905,446266772179.2174,5916245680945.042,0.0027362683753606,27.419385106312564,27.419385242843063,128.810486,-191.981537,320.792023,-0.0367251023991231,0.745762351864002,7.001671820855667,1162.1825461658675,20.86631933385517,0.047929,32.3524,1.5457999999999927,77291.0,2230.5313685490764,2245656301756.444,6459.9627387059945,232724160.0168396,112853451959.82704,2132570125636.6,42.46604856504033,45.45866178688083,40.46852914700303,1.738719113384552,26242.18234870752,-0.2809653681482513,26.607909892460917,31.14453941910794,24.289649606917944,2.232949894112859,10537.977539616277,-0.5810829265751039,36780.15988832379,6599.459585494295,2.408640000000001,14.451840000000004,120433.0,1.6020359982686607,2.5685481214492656,0.8609163977164321,0.9752083377100284,T01,4,120.0,0.05,0,4,24,17.0,136
70,70,False,0.0003124171911207,27.453498911733256,27.453498913510888,110.932976,-113.214066,224.147042,-0.0615306797735857,0.0183085889272414,4.123848342853054,2380.8006584584864,21.54077564486964,0.072034,36.089233,3.158820000000002,157942.0,2150.472958509189,9400710441354.02,3887.8907684743936,1420891544.6946938,3735889414988.583,5663400134460.021,6.3516848121080205e-06,24.76545157616504,24.765451576165848,111.651726,-104.174728,215.826454,0.0682835155211932,0.1912645658115401,4.508366247900486,1944.6655286777927,19.24908488082052,-0.071894,31.705351,3.1706600000000016,158534.0,4828.301815566239,7707390123085.651,5278.211819609955,997772843.321521,920453882243.121,6785938467999.172,0.0002195483285166,30.51601710535648,30.51601710614625,127.404839,-125.123756,252.528595,0.026247713949951,-0.1932758731861161,4.175015322505482,2635.764374529995,24.269399429123595,-0.264126,41.347746,2.8303999999999974,141521.0,1900.4246720287576,9325400251679.184,3255.2489750323425,1249954790.9914677,4718180941884.493,4605969355003.698,2.9886473530914605e-05,22.90602236662006,22.90602236663956,110.956749,-116.468636,227.425385,-0.0129223151983927,0.0954547406273325,5.084629454026269,1506.1212567445896,17.925434248610006,0.239647,29.788171,2.8705,143526.0,1900.0041804991693,5404188987414.816,4897.572468944904,976261144.0288124,1112594213480.7805,4290618512754.9673,0.0006081140358697,32.707445934364024,32.70744594001721,106.27475,-131.414764,237.689514,-0.0426112201144854,-0.2964752528837198,4.017885231424183,2640.0171252968767,26.27508589011354,-0.072034,45.693821,2.467800000000004,123391.0,1887.495846608076,8143858830502.845,2897.905183319197,1030273636.5334332,5302576018185.565,2840252538680.7456,-0.0003432316962987,22.679363297637227,22.67936330023448,109.015602,-97.344772,206.360374,-0.0075997176090399,0.0397782877933137,4.806819334247929,1309.3691809697414,17.74459212414855,0.167753,29.356807,2.545639999999999,127283.0,1887.526221169326,4166510937488.5903,4595.846467837648,851288271.1645145,1214183045176.239,2951476604041.187,0.0004289905033323,33.47410301839513,33.47410302114401,110.356697,-130.262207,240.618904,0.1119701716303552,-0.2959579172611435,3.8914323385370326,2484.877745151851,26.48084550534357,-0.720344,45.549751,2.2175999999999974,110881.0,1946.6815776207968,6888143232635.873,2999.2510957834747,667144508.2806754,4427587707561.426,2459888380566.166,-0.0001649774223118,23.78078793146898,23.78078793204124,101.802216,-110.597275,212.399491,-0.09965457315769,0.0589220590483221,4.650698509908742,1233.8643533522115,18.580775722586854,0.263612,30.770726,2.1817800000000034,109090.0,1947.0162252089192,3365056557986.925,4812.909101928977,541233201.8032236,974965886163.2852,2389549438331.5166,1.566237647726333e-05,27.49708209641945,27.49708209642391,118.49659,-145.005249,263.501839,0.0463064232213937,-0.038389479235275,5.273477690887733,1436.9178964341584,21.447390326952423,-0.240115,35.921154,1.900439999999996,95023.0,1383.3492944337306,3413506231822.6904,3021.5706324762564,726075505.2800614,1816402397338.8403,1596377758978.57,0.0008436791805892,21.30680277944541,21.30680279614887,113.544937,-153.877594,267.422531,0.0178448953081529,0.2553201676993124,7.221993626740321,831.4913256297947,16.557209730721354,0.023965,27.271874,1.831540000000004,91578.0,2213.41370206462,1903657818448.0647,4853.486282012673,455841852.6422216,402198508189.1032,1501003468405.931,0.0003934659592061,30.268285397303043,30.26828539986043,133.431717,-126.732521,260.164238,0.0253844541397191,-0.1762544143319533,4.408301138875057,1329.5445994399936,24.033169307828004,-0.240115,41.347746,1.4511800000000008,72560.0,2039.0022051488568,2411793903791.718,2855.896916886697,372309213.17619926,1391305624476.606,1020115970101.8882,-0.0003627590195348,24.346083910591577,24.34608391329415,182.155991,-239.527573,421.683564,0.0481239750868023,0.5205390327713619,9.838443581031372,859.8997343075005,18.967145931827897,-0.215683,31.273987,1.450720000000004,72537.0,1338.6271834191652,1559363676032.7722,4673.554657557594,279918505.40356046,379482433379.7016,1179601324147.6672,30.319405412850443,33.47410302114401,27.453498913510888,2.304888028308331,12907.92239931136,0.1652509852487858,23.297418647420688,24.765451576165848,21.30680279614887,1.1537042019204586,7685.411379681631,-0.1655163541149638,20593.33377899299,2640.0171252968767,2.337706666666666,14.026239999999998,116886.33333333331,1.3040545446688911,1.713123449074403,0.0833157061577623,0.7343106115582374,T01,5,120.0,0.05,0,5,30,14.0,150
73,73,False,0.0001406615958918,35.00803168304922,35.0080316833318,128.677444,-148.72702,277.404464,0.007442576420454,-0.0132546029400266,4.248368527123239,3933.123498980549,27.45326982967307,-0.432206,45.933935,3.209219999999995,160462.0,2116.0773267992085,15777921572594.17,3655.486485533356,1136711735.709944,2510043106273.005,13266741754577.424,0.0002755182539487,34.68532831511756,34.68532831621183,141.751434,-127.420525,269.171959,-0.0733275505959103,-0.2038449893678207,4.086783688702919,3924.132128035808,27.40605885138698,0.599119,47.018822,3.261739999999996,163088.0,4913.298342185417,15999471513518.713,4630.796826717044,989998170.44685,1055762477489.1252,14942719037695.98,0.0004396545734763,32.35526068983052,32.355260692817616,119.601112,-131.558823,251.159935,0.1091998200031242,-0.1751684920306182,4.0660721064505,3070.218559732265,25.48882921374941,-1.224585,42.836456,2.932760000000002,146639.0,2150.5193025862045,11255344486592.703,2930.6949144884607,553378925.1369716,2199283375347.366,9055507732320.203,-0.0004384425048299,29.39999971269432,29.399999715963567,121.621056,-117.762733,239.383789,-0.2085249349172775,-0.1768011769453168,4.136770652210666,2514.3713298167995,23.23434176293083,1.773391,39.014597,2.908920000000002,145447.0,2150.267795223277,9142694172229.91,3999.37956469719,439659235.80864745,949509082513.5834,8192745430480.518,0.0001237725175746,34.00109275570459,34.00109275592987,118.25647,-139.986847,258.243317,0.0091963397268024,-0.3298885037095136,4.11712788188509,2946.972141531672,26.970888025969742,-0.216103,46.246085,2.549100000000003,127456.0,1975.5837309309293,9390232031912.816,2799.930296933544,607715068.7542505,4235815409087.525,5153808907732.776,-0.0001837664944709,28.17430478180378,28.17430478240309,120.902115,-127.324669,248.226784,-0.077532704694469,-0.2752136474832976,4.519176958699032,1966.8564547399835,22.570683008499472,0.527224,39.062526000000005,2.4777800000000028,123890.0,1975.5428203185545,6091846154722.28,3729.75668904889,580498079.7163697,1894113179192.797,4197152477410.351,-2.3972515230812347e-05,28.42778387038577,28.42778387039588,140.755219,-130.23819,270.99340900000004,0.1117245516864764,0.0253771670975524,4.951325774872648,1748.3115243567313,22.20741035284601,-0.624298,36.881612,2.1633599999999973,108169.0,2125.8401206325784,4727827731956.945,3340.938896149283,712466286.8912845,1672496363266.992,3054618902403.061,-0.0002645455350331,25.26694801365444,25.26694801503934,124.808365,-108.128906,232.937271,-0.1054091369393359,0.0078227439188842,4.939590049645561,1355.6309552527894,20.023088477889445,0.527224,33.982002,2.123400000000004,106171.0,2151.246574004641,3598217354148.0293,4562.5116560200295,412729377.52212095,506335505527.9758,3091469119242.5312,0.0009375719506825,30.84583234376857,30.84583235801752,131.174637,-154.249664,285.424301,0.0510697451849731,-0.0295121690517836,5.000664667099089,1728.6222912268818,24.147597453676795,-0.408195,40.339264,1.8167799999999945,90840.0,2152.135622390419,3925701227027.886,3143.5125820928606,643465272.4958433,1405256340247.0264,2519801421458.871,4.100463514479109e-05,25.486154992001197,25.48615499203418,101.203102,-101.969971,203.173073,-0.1052806667201161,0.0150278885697083,4.000994698175194,1199.5520552423368,19.996297366934524,0.527224,33.598566,1.846739999999997,92338.0,2152.41828864513,2769105941932.5947,4191.06623549369,424012680.8381705,507565266253.96014,2261116662997.797,-0.0004098726904611,28.50307337660862,28.503073379555595,121.257904,-155.522263,276.780167,0.0238650518399533,0.517883453752336,5.4563331093815135,1340.2415908710775,21.481059685648123,-0.072034,32.823673,1.6496599999999972,82484.0,2116.167983422184,2763712185132.6885,3651.002623034524,353496894.837258,1079687952436.7476,1683670735749.2124,0.0006727124577881,24.50331047099128,24.503310480225583,147.287292,-134.322372,281.609664,0.0148861789384498,0.3384331302713415,6.010913999512937,910.3209982832674,18.94731502741136,0.023965,30.89055,1.5161400000000071,75808.0,2116.5312361369643,1725240357248.625,4512.374719473055,271208812.1081572,360002068455.5728,1364967079977.2676,31.523512456674712,35.0080316833318,28.42778387039588,2.521174379898357,14767.48960669918,-1.2178967259661522,27.919341050312934,34.68532831621183,24.503310480225583,3.4799614062681536,11870.863921370985,-1.8731137176880917,26638.35352807016,3933.123498980549,2.3868133333333312,14.320879999999988,119341.66666666669,1.1358772971792002,1.320778599192307,0.8665659551259117,0.9614192178116916,T01,6,120.0,0.05,0,6,36,18.0,168
